scoreUpdatePerTrial,scoreAtEveryTrial
-16,-16
14,-2
14,12
-16,-4
-16,-20
14,-6
-16,-22
-16,-38
14,-24
-16,-40
-16,-56
14,-42
14,-28
14,-14
-16,-30
-16,-46
-16,-62
14,-48
-16,-64
14,-50
14,-36
-16,-52
14,-38
14,-24
-16,-40
-16,-56
-16,-72
-16,-88
-16,-104
14,-90
14,-76
-16,-92
14,-78
-16,-94
-16,-110
-16,-126
-16,-142
14,-128
14,-114
-16,-130
-16,-146
-16,-162
14,-148
14,-134
14,-120
14,-106
14,-92
-16,-108
14,-94
-16,-110
0,0
14,14
-16,-2
14,12
14,26
14,40
14,54
-16,38
-16,22
-16,6
14,20
-16,4
-16,-12
14,2
-16,-14
14,0
-16,-16
14,-2
14,12
14,26
-16,10
14,24
14,38
14,52
14,66
0,66
14,80
14,94
14,108
14,122
-16,106
-16,90
14,104
14,118
14,132
-16,116
-16,100
14,114
-16,98
14,112
-16,96
14,110
14,124
-16,108
14,122
14,136
-16,120
14,134
14,148
14,162
14,176
0,0
14,14
14,28
14,42
-16,26
14,40
14,54
14,68
14,82
-16,66
14,80
14,94
14,108
-16,92
14,106
-16,90
14,104
14,118
-16,102
14,116
14,130
-16,114
-16,98
-16,82
-16,66
14,80
14,94
14,108
-16,92
14,106
14,120
14,134
-16,118
14,132
-16,116
-16,100
14,114
14,128
14,142
14,156
-16,140
-16,124
-16,108
-16,92
14,106
-16,90
-16,74
-16,58
14,72
14,86
14,100
0,0
-16,-16
-16,-32
-16,-48
-16,-64
14,-50
-16,-66
-16,-82
-16,-98
-16,-114
-16,-130
14,-116
-16,-132
-16,-148
14,-134
14,-120
-16,-136
-16,-152
14,-138
14,-124
-16,-140
14,-126
-16,-142
-16,-158
14,-144
-16,-160
-16,-176
-16,-192
14,-178
-16,-194
14,-180
-16,-196
14,-182
14,-168
-16,-184
14,-170
14,-156
14,-142
14,-128
14,-114
14,-100
-16,-116
14,-102
-16,-118
14,-104
-16,-120
-16,-136
14,-122
-16,-138
-16,-154
-16,-170
0,0
-16,-16
14,-2
14,12
-16,-4
14,10
14,24
14,38
-16,22
-16,6
14,20
14,34
14,48
14,62
-16,46
-16,30
-16,14
14,28
14,42
14,56
-16,40
-16,24
-16,8
-16,-8
-16,-24
-16,-40
-16,-56
-16,-72
14,-58
-16,-74
-16,-90
-16,-106
14,-92
-16,-108
-16,-124
-16,-140
-16,-156
14,-142
-16,-158
14,-144
-16,-160
14,-146
14,-132
-16,-148
-16,-164
-16,-180
-16,-196
-16,-212
14,-198
14,-184
14,-170
0,0
14,14
-16,-2
-16,-18
14,-4
-16,-20
-16,-36
-16,-52
14,-38
-16,-54
-16,-70
10,-60
14,-46
14,-32
14,-18
-16,-34
14,-20
-16,-36
14,-22
14,-8
14,6
-16,-10
-16,-26
