scoreUpdatePerTrial,scoreAtEveryTrial
10,10
-4,6
5,11
8,19
8,27
5,32
8,40
8,48
-7,41
5,46
7,53
5,58
5,63
5,68
7,75
-7,68
-7,61
5,66
-7,59
-7,52
5,57
10,67
5,72
-4,68
7,75
5,80
2,82
7,89
5,94
5,99
-4,95
8,103
5,108
2,110
8,118
5,123
3,126
7,133
7,140
-4,136
-7,129
-4,125
7,132
-7,125
-7,118
-4,114
3,117
8,125
-7,118
-7,111
8,119
5,124
8,132
5,137
7,144
5,149
5,154
3,157
10,167
5,172
8,180
3,183
-7,176
7,183
5,188
3,191
-4,187
5,192
3,195
-4,191
7,198
-7,191
5,196
5,201
2,203
3,206
5,211
3,214
7,221
5,226
1,227
-4,223
5,228
7,235
5,240
2,242
-7,235
7,242
-7,235
-7,228
5,233
7,240
7,247
-4,243
-7,236
-4,232
-7,225
5,230
7,237
7,244
5,249
5,254
7,261
-4,257
-7,250
-7,243
10,253
8,261
2,263
7,270
-7,263
-7,256
-7,249
-4,245
3,248
7,255
3,258
5,263
3,266
5,271
-7,264
5,269
-7,262
-7,255
5,260
5,265
10,275
8,283
8,291
8,299
-7,292
7,299
3,302
7,309
-4,305
-7,298
