scoreUpdatePerTrial,scoreAtEveryTrial
3,3
7,10
-7,3
5,8
7,15
2,17
-7,10
5,15
5,20
-7,13
1,14
0,14
7,21
8,29
3,32
2,34
7,41
2,43
-7,36
2,38
1,39
5,44
0,44
7,51
2,53
7,60
5,65
-7,58
2,60
2,62
0,62
3,65
-7,58
-7,51
-7,44
5,49
7,56
3,59
7,66
-7,59
1,60
2,62
-7,55
8,63
-7,56
-7,49
7,56
7,63
3,66
-7,59
-7,52
5,57
3,60
-7,53
7,60
-7,53
1,54
-7,47
7,54
3,57
3,60
2,62
3,65
2,67
3,70
5,75
3,78
2,80
7,87
5,92
-7,85
-7,78
5,83
3,86
-7,79
3,82
7,89
-7,82
7,89
8,97
2,99
2,101
3,104
5,109
-7,102
5,107
2,109
-7,102
2,104
3,107
5,112
5,117
-7,110
-7,103
-7,96
5,101
-7,94
7,101
-7,94
5,99
-7,92
2,94
-7,87
8,95
3,98
3,101
-7,94
8,102
7,109
7,116
7,123
3,126
2,128
8,136
-7,129
0,129
1,130
5,135
7,142
2,144
-7,137
5,142
7,149
7,156
-7,149
5,154
5,159
-7,152
3,155
-7,148
5,153
2,155
7,162
-7,155
7,162
7,169
