scoreUpdatePerTrial,scoreAtEveryTrial
2,2
-6,-4
7,3
8,11
5,16
-8,8
2,10
2,12
-6,6
3,9
5,14
10,24
0,24
-6,18
-6,12
5,17
7,24
3,27
1,28
1,29
5,34
3,37
0,37
5,42
7,49
8,57
0,57
-6,51
0,51
8,59
-8,51
8,59
-6,53
2,55
2,57
3,60
-8,52
-6,46
8,54
0,54
-6,48
8,56
0,56
0,56
3,59
-6,53
5,58
8,66
3,69
3,72
7,79
2,81
8,89
3,92
7,99
8,107
-8,99
10,109
10,119
7,126
10,136
3,139
5,144
3,147
8,155
-8,147
5,152
-8,144
2,146
-6,140
8,148
-6,142
7,149
-6,143
8,151
-6,145
10,155
10,165
8,173
5,178
10,188
-8,180
10,190
7,197
8,205
8,213
2,215
-8,207
5,212
10,222
2,224
10,234
3,237
7,244
-8,236
-6,230
0,230
0,230
-6,224
10,234
10,244
-8,236
10,246
0,246
10,256
10,266
-6,260
-6,254
-6,248
3,251
-6,245
-6,239
2,241
10,251
-6,245
5,250
-8,242
8,250
10,260
0,260
8,268
-6,262
5,267
-8,259
8,267
10,277
8,285
8,293
-7,286
7,293
0,293
3,296
8,304
-8,296
8,304
-6,298
