scoreUpdatePerTrial,scoreAtEveryTrial
-8,-8
2,-6
2,-4
3,-1
7,6
-6,0
2,2
8,10
-6,4
3,7
7,14
-6,8
5,13
-8,5
-8,-3
-6,-9
10,1
10,11
8,19
3,22
7,29
3,32
-6,26
-8,18
-6,12
2,14
-6,8
1,9
1,10
10,20
2,22
-6,16
-6,10
-8,2
10,12
5,17
3,20
7,27
10,37
-6,31
0,31
10,41
-8,33
8,41
3,44
-6,38
2,40
-6,34
2,36
-6,30
-8,22
7,29
-8,21
2,23
8,31
7,38
8,46
-6,40
-8,32
0,32
2,34
2,36
5,41
5,46
5,51
2,53
-8,45
7,52
-6,46
-6,40
10,50
0,50
8,58
-8,50
0,50
-8,42
7,49
7,56
5,61
7,68
8,76
-6,70
2,72
7,79
-8,71
7,78
1,79
3,82
7,89
10,99
3,102
10,112
3,115
7,122
-6,116
-8,108
8,116
3,119
10,129
10,139
8,147
-6,141
-8,133
2,135
10,145
8,153
5,158
-8,150
-8,142
0,142
-8,134
-6,128
-6,122
0,122
-8,114
2,116
-6,110
1,111
8,119
-8,111
2,113
0,113
8,121
7,128
8,136
10,146
-6,140
2,142
3,145
0,145
2,147
5,152
1,153
2,155
7,162
7,169
