,queen,passage,bat,park,ring,match,bright
0,-0.8914307,-0.06245758,-0.39657682,0.11788365,-1.2296914,0.76205,-0.48765862
1,-0.51342154,0.20254865,0.43496057,0.92809254,0.99240595,0.43916917,0.28504527
2,-0.63121605,-0.45260602,-0.09841662,-2.545225,0.375812,0.4994209,-0.0955421
3,1.6951513,0.51996136,-0.19983304,1.0074605,0.26639217,1.4542599,-0.64130116
4,0.2693213,-0.36310327,-0.021346554,1.003668,-0.032494403,-0.39378235,0.35457325
5,0.37592527,-0.49097034,-0.030868199,2.3400118,0.9035771,-1.5122743,-1.376574
6,-1.7429651,0.050231054,-0.18815447,1.0307345,0.5627715,-0.0064345836,-0.4808749
7,0.83711386,1.3470637,-0.060873725,1.4043266,0.21654777,0.14526543,-0.13941671
8,-0.66788906,-0.4511441,0.042049803,0.66041315,0.033635113,0.8544618,0.24917984
9,1.7250167,0.28712344,-0.20874515,0.0062934808,0.79671085,-0.08102632,0.673477
10,-0.81269914,-0.62163115,0.51257527,0.19087827,-0.93130255,2.088663,-0.5772161
11,-1.688555,-0.32472634,-0.8289118,-1.7023058,0.015435174,-1.007246,-1.5742477
12,0.78156817,0.4080738,-0.42900634,2.0754545,-0.89326173,0.5243964,-0.7018431
13,0.5644165,0.63797456,-0.027453413,-2.5360086,0.3881719,-0.95146376,0.7348591
14,-1.0717309,0.46497366,0.33336207,-1.6977491,-0.1561313,0.2693481,0.23571368
15,1.01541,0.4510446,-0.064841375,2.8467867,0.72544134,-0.8831546,-0.28464156
16,-1.0161977,0.23311877,0.1089939,-0.31647873,-0.75213057,2.0140777,0.067460366
17,-0.6224905,-0.23832932,-0.7651663,-2.4107547,0.41971728,0.015935043,0.3607119
18,0.58488566,0.4169057,0.4633192,1.3597523,1.6145297,0.10625945,0.97451204
19,-1.3185341,-0.6403355,-0.13527277,1.2538153,0.14386445,0.5560824,-0.7374849
20,0.30001897,1.0329461,-0.12944564,1.7989722,-0.15707888,-0.2998979,-0.13105175
21,-1.1776091,-0.42627317,-0.1450354,-1.3726014,-1.9035753,-0.81404966,-0.18757945
22,-0.1531772,0.3488129,-0.063616954,2.0663083,0.016454952,-0.32034582,-1.1623467
23,-0.2855772,-0.2502795,0.5268963,0.9874446,-0.013109238,0.0008640494,0.04112246
