,card,book,baseball,public,jewellery,fire,light
0,0.004366111,1.1244485,-0.50916326,-0.7573795,0.15077342,-0.12788495,0.79783314
1,0.1527864,-0.013352612,0.21965192,-0.2803189,0.110080965,0.61268026,0.8406759
2,-0.047176395,-1.4927088,-0.81081706,-0.9246311,0.048073657,-0.34748524,-0.42003793
3,0.44367728,1.0118384,1.7959837,2.2696507,-0.028648729,0.7576854,-0.77554387
4,-0.08921713,-1.8646958,0.95388144,2.083008,-0.23712763,-1.3721745,-0.80508786
5,-0.7834794,-0.10347877,-0.91323954,0.53255874,-0.10957077,1.0037713,-2.1026332
6,0.05735046,-1.0937839,-0.6949583,0.5956474,-0.3204036,1.5057397,0.8453286
7,0.47754267,0.04656068,-0.5470644,2.6664603,-0.034366105,0.96706355,0.5729857
8,1.0445223,0.47020772,0.6900794,0.23491189,-0.11119888,-0.28267273,1.2409348
9,1.1907525,-0.5922803,-0.5715166,0.42156675,0.22842015,-1.2167783,-0.37558562
10,1.3712193,-1.4207883,0.84835464,-2.365222,-0.026931217,0.9473779,0.20681842
11,-0.14759783,-2.4067748,-1.3540536,-1.368922,-0.29927593,-0.653937,-0.6493768
12,1.6112119,0.54382896,-0.609743,0.3211095,-0.015379834,1.2804229,-1.0595255
13,-1.6505231,-2.6021888,-1.3340857,-0.90246964,-0.24711454,1.3149488,0.95923984
14,-0.5936347,0.7276884,0.9347187,0.06311503,-0.3589096,-1.0878173,1.2976549
15,0.2517898,-0.065037504,0.40252134,0.50318414,0.25208658,0.6303204,0.42471844
16,2.3620996,-0.105206646,1.2236036,0.04824785,0.07101618,0.09389455,0.31584665
17,-0.1545252,-0.25933006,-0.31385666,0.9109852,-0.1290271,-0.6524923,0.65371823
18,-0.20362729,0.26708803,-0.010347749,-0.5002759,0.04621384,1.9588063,1.3985118
19,-0.21967801,-1.9927102,0.6408079,-1.1868541,-0.17849784,-0.51153976,-1.6348709
20,-1.2745281,0.99944246,-0.79242676,0.56632257,0.11868597,0.41495493,1.0461364
21,-0.013714925,-0.70819813,-0.58282626,1.294635,0.2263998,-1.0326457,0.15740292
22,0.24786,-0.8195941,0.15758441,1.715959,-0.5940816,-0.7516493,-1.9676874
23,-0.3369792,-0.13012563,0.8031672,-0.15877707,-0.0010744536,-0.73609704,-1.2543124
24,0.33253664,-0.25164005,-0.30855882,2.9637249,0.14000116,-0.86029637,1.035999
25,1.360943,0.6375353,-0.1809644,0.43968993,-0.14761658,-1.2625343,-0.9285686
26,2.0179179,0.30868348,0.7426453,1.024915,-0.22249058,-0.81319195,0.79379535
27,-1.1145071,1.321518,-1.4436891,-1.4400436,0.17216198,1.2469882,1.674803
28,2.089876,-2.7276073,0.9527864,0.25489965,-0.3300717,0.75590855,-0.57533437
29,3.0076392,0.18103863,0.24340485,-0.19420004,-0.14859779,0.67865497,-1.797812
30,-0.119017385,1.1059119,0.55354965,0.7028553,-0.08124179,-0.8118521,1.7583673
31,1.5099301,0.48023483,-0.5218488,-1.1869599,0.08124106,1.9042174,2.3841984
32,0.4724457,-0.9836516,0.6881403,1.9069605,-0.039180458,-0.076488554,-1.2417417
33,0.52553934,-0.52750605,0.45563468,-2.211399,-0.046863075,-1.467481,-0.24464087
34,-0.17671652,1.9366777,1.7231363,1.5939817,0.1517079,-1.0544947,-1.360189
35,0.5653878,0.46511453,-1.2167764,1.6918253,0.14877556,1.908424,1.0547645
36,0.4831465,-0.4838104,1.1884977,1.3335588,-0.21517982,-1.6907141,-1.5032836
37,-0.0564323,-0.014182718,0.55289066,1.3307421,0.09366203,0.70278525,0.3358405
38,1.5535876,-0.54832834,-0.11845659,-1.6230212,-0.077404216,-0.25602746,-1.1809881
39,0.9531693,0.07634317,0.5066011,-0.8642512,-0.048551813,-0.85663295,-1.4206703
40,-1.2219397,1.0539838,-0.7938534,-0.5249937,0.044337578,-0.9770065,-1.8330292
41,0.13359617,1.9179674,1.5898957,-1.1625396,-0.061965324,0.797591,1.4505017
42,1.2043494,1.3592722,0.9462723,-0.8997382,-0.03285858,-0.09938908,-1.6107044
43,1.2211192,0.6949518,1.3530862,2.019504,0.12325371,1.7758021,-1.2455767
44,1.9255596,0.2288342,1.4042677,1.4159495,0.13530102,1.6571293,-0.10417388
45,-1.102396,-0.5096898,-1.559807,-3.0902507,-0.20268771,-0.53624034,-0.8510574
46,-1.2515618,-0.5360742,0.9432987,-1.8855666,-0.16359591,-0.36636406,-1.4543587
47,0.29188675,-0.9355659,0.08228139,-0.4901248,-0.09533225,0.30461445,0.8963312
48,2.060886,2.256533,0.6651686,0.86840945,0.15573545,0.30868202,-0.86505085
49,-0.11855321,-0.58794045,0.06414622,-2.081714,-0.1805115,-0.21577951,-1.6062434
50,0.11674239,1.7818685,-0.58519006,0.52107227,-0.16297665,-0.8853636,-1.6181316
51,-0.064697556,-0.68801564,0.2930662,-0.5527171,-0.22431657,-0.6592949,0.8965212
52,0.29567507,0.40755817,-1.5446398,0.51673996,0.2701849,0.80443794,2.165466
53,-1.4249982,-1.1398609,-1.239957,0.6280933,-0.13765082,0.28334197,-1.2082486
54,0.93609565,-0.512199,0.23286761,-0.33210364,-0.043100834,0.4141721,-1.5585493
55,0.8660027,-1.2053626,1.5199349,1.1125321,0.14083888,0.47252557,0.15095674
56,-0.06609838,1.0476243,0.1353149,0.81288916,-0.24648592,-0.82611185,1.2089924
57,1.885396,1.3743173,0.7581324,-0.83099383,-0.4468157,-0.34050947,-2.2302175
58,-0.3203211,-1.1501486,1.0828584,-1.0178101,-0.23443903,-1.5320079,-1.9091316
59,0.4331816,0.6457554,1.7538594,0.5143958,-0.27803925,1.3312871,-1.0690768
60,0.6169266,1.3324189,-0.535958,-0.3818453,0.24553023,-0.5408475,-1.45979
61,-0.3643026,1.8735821,0.318345,-0.9644441,0.002937003,0.7345235,1.4641654
62,-0.29311687,-0.2417172,0.11881046,2.6943219,-0.19981383,-0.76025534,-0.9035905
63,1.5516195,-0.0068053147,0.51298165,1.2009931,-0.06929566,1.2850815,0.07876556
64,-0.61038196,-2.920289,0.6259619,-0.36787745,-0.21034999,-0.951403,-2.6444836
65,-0.51264375,0.7182954,-1.130096,-1.8709006,-0.1428717,-0.5990578,-0.8573559
66,-0.11617142,1.4393368,0.6121891,1.5928481,-0.25800827,-0.20463227,0.04440534
67,0.59291774,-1.4926101,0.55900794,0.47480175,0.32155734,0.81568396,-1.2018498
68,0.017562743,-1.2999655,-0.62520015,-1.2130173,0.14777425,-0.71082425,0.3523025
69,1.5564172,2.1196313,-0.36078268,0.13308233,0.19539167,1.4244229,0.9291252
70,-0.952759,-1.575622,-1.1634924,0.34798515,-0.022877939,2.3611708,3.3733447
71,-2.3422458,0.34761417,-0.4124795,-0.9534203,0.054662928,-1.8666492,-0.18329906
72,0.7820128,3.2100492,-1.0958567,-0.58099365,-0.040132202,1.4427706,0.53819436
73,-0.9433341,-1.6520574,0.22075737,0.86920434,-0.15417752,0.020525178,-1.3961042
74,-1.1673173,-0.14864217,0.5999741,-0.07437199,0.25826982,0.6814371,-1.0954068
75,0.680971,-0.33532074,1.0642419,2.9093294,0.13085262,0.6616281,0.48871556
76,0.55023634,-0.6331144,0.92634875,2.4940512,0.022635436,-0.9036869,-0.796221
77,-1.30181,-0.08186995,-0.19609842,0.26260895,0.22970518,-1.6353675,0.27719197
78,1.26835,-0.35318035,0.69919634,1.038914,-0.3258627,-0.37799144,-1.5151826
79,0.042176776,0.4703757,-0.026957134,0.79554075,-0.014773768,0.35277757,1.4541237
80,1.4752924,0.5432451,0.29052404,3.3645785,-0.053254332,0.43458238,0.6962662
81,0.32940462,-0.94794804,-0.1977627,0.92472047,0.033290688,0.7986302,1.8436996
82,-0.76222193,-0.55838275,0.0076898723,-1.9881586,-0.18832646,-0.31187505,-0.59599614
83,-0.23394665,-1.0076039,0.8888833,-0.9748301,0.039385516,-0.24458882,-0.76752436
84,0.29677683,0.6268067,0.2952359,0.006936712,-0.17113116,-0.56629777,0.58594286
85,0.8235802,-1.3056433,-0.16743156,1.3015921,0.10823876,0.41628996,-0.023013983
86,0.6401214,-0.030683937,-0.52443796,-0.81080234,0.11774622,1.331147,2.124702
87,-1.0875974,-1.225483,0.022821706,0.09408023,-0.09717844,0.9224807,0.70135957
88,0.9384043,1.0198177,-0.48780453,1.7807161,-0.10558641,-1.0525607,-2.5490863
89,1.0026987,1.4286921,0.38057896,2.2327724,0.0798702,-0.63729787,-1.5274956
90,9.784186e-05,-0.08696997,-2.0144181,-1.594612,0.29959694,1.5493184,0.13896018
91,-1.9512755,0.65964985,0.01214908,0.5798395,-0.106313184,-0.04846906,-1.319339
92,-0.067326404,0.4642424,-0.8571183,-0.38483065,0.17466871,2.1722636,0.72585
93,0.67564,3.3114536,1.6258614,0.21259901,-0.058648594,-0.49207336,0.51812595
94,1.4721371,-0.9180024,0.08036421,-0.9297759,0.4171069,1.6056947,0.069882564
95,0.6739221,1.1821873,-1.0131258,-0.13312757,0.26955476,-0.8678802,0.36449996
96,1.2547268,0.094156764,0.46234667,-1.9295794,-0.058167882,1.679615,-0.72650516
97,-0.8674938,-0.7362449,0.44715732,-1.2669168,0.34742713,0.5599981,1.0543017
98,1.9890867,0.041094944,1.150604,0.6622465,0.086028345,-0.5273571,0.19797263
99,-0.4610663,-0.03442926,-0.72574866,-0.13642254,0.42241293,1.8980728,0.049472496
100,-0.26617518,-0.065752886,0.2913498,0.31705028,-0.11136198,0.1491309,-0.26805145
101,-0.66898614,-0.7524683,0.74791527,-0.59603727,-0.008093351,-0.6345734,-0.15416871
102,0.63083506,-2.195249,-1.1308224,0.7433413,0.24605106,1.216665,-1.0478076
103,-0.45249414,0.74402153,-0.21967313,2.1493866,-0.055906653,0.40343103,-1.3769357
104,-0.057273407,-1.9996661,-0.4030084,-1.1606314,0.0024075932,0.63548714,-0.20050052
105,1.0669762,2.3423872,1.2107737,0.82349944,-0.22983252,-1.3549076,-0.15813589
106,-1.2783847,-1.2853193,-0.4989347,0.6224169,-0.07295669,-0.8279853,-0.73097
107,-0.1469355,0.18106371,0.45937228,1.131151,0.30775267,-0.35829383,-0.6020957
108,0.92091995,-0.36130562,-2.2091742,-0.11579663,0.117947705,2.1866689,2.2734559
109,1.0344362,1.2775987,2.849328,-0.24851377,-0.15399078,-0.28600076,0.7384316
110,-1.1373067,-1.4720668,-2.179531,0.82109046,-0.19581926,-0.4116915,1.190239
111,0.58561444,3.26438,-0.81195885,1.72152,0.16718298,-0.79385346,0.7851717
112,0.9672294,-0.31891868,-3.3911543,-0.4400153,0.08558485,0.45875433,0.6333776
113,0.49803656,0.12067432,-0.7332879,-0.54503655,-0.1006244,0.06254109,1.9925442
114,1.1995654,-0.4405861,2.4586153,0.41443843,-0.11045269,0.8456127,-1.3139496
115,-1.307678,0.05157213,-0.5930687,-1.809516,-0.24233288,-1.3211143,-0.9049973
116,-0.75477403,2.1602156,-0.08600339,-1.1448476,0.068814166,1.6443841,-1.7188464
117,-0.24581121,-0.849285,-1.0961741,-1.0261945,-0.22172108,-0.8448454,0.0063387193
118,-1.3641138,1.0677779,-0.4784254,0.10460239,0.118947044,-0.7476607,-0.11750871
119,-2.0485747,0.3253017,-0.6689563,0.21703954,0.09132041,-1.221419,-0.5426108
120,-0.36799255,-1.4332054,0.42152184,1.3152313,0.038484633,0.67677885,-0.05276865
121,0.7640725,0.12919849,1.8333515,-0.6005709,0.0476182,0.99850774,-1.2612637
122,-2.1009285,-1.5767051,0.8696354,-0.9424055,-0.0058821817,-0.37387177,-0.6666678
123,1.0473562,0.10898872,1.4474775,0.8848384,-0.015235679,-0.3870671,1.8250117
124,0.22501253,0.8538169,0.75541687,-1.1826532,0.20980223,0.086577125,-2.3990116
125,0.28222278,0.503481,0.21325113,-0.38371485,0.47573954,-0.73939866,-0.26018712
126,-0.4379193,0.024997523,0.062699944,-1.3398125,-0.41605455,0.27591413,0.74909896
127,-0.33400804,0.07890294,-1.2852962,-1.3643068,0.11254631,2.0392869,2.1375122
