scoreUpdatePerTrial,scoreAtEveryTrial
8,8
8,16
10,26
-14,12
12,24
12,36
10,46
12,58
14,72
-16,56
-6,50
12,62
12,74
12,86
12,98
8,106
14,120
14,134
-8,126
12,138
12,150
-6,144
-14,130
-14,116
12,128
14,142
12,154
10,164
-14,150
-6,144
14,158
6,164
14,178
14,192
12,204
12,216
10,226
-14,212
8,220
12,232
-8,224
8,232
-16,216
8,224
12,236
12,248
-6,242
14,256
12,268
12,280
0,0
-8,-8
12,4
-16,-12
14,2
-14,-12
10,-2
12,10
-8,2
10,12
-16,-4
8,4
-8,-4
14,10
-16,-6
12,6
14,20
14,34
14,48
14,62
-16,46
14,60
-16,44
-16,28
12,40
10,50
-14,36
14,50
8,58
12,70
-8,62
14,76
14,90
14,104
14,118
12,130
14,144
10,154
-16,138
8,146
-14,132
14,146
-14,132
12,144
14,158
14,172
10,182
12,194
14,208
-8,200
10,210
0,0
14,14
14,28
14,42
10,52
14,66
14,80
-16,64
-16,48
4,52
14,66
14,80
12,92
6,98
14,112
-16,96
14,110
14,124
12,136
14,150
12,162
12,174
-16,158
12,170
14,184
10,194
12,206
-14,192
-8,184
12,196
-4,192
12,204
-6,198
14,212
14,226
-16,210
-14,196
10,206
10,216
-16,200
10,210
-8,202
6,208
14,222
-8,214
-14,200
-14,186
12,198
12,210
-14,196
14,210
0,0
10,10
-6,4
-14,-10
10,0
-16,-16
-16,-32
8,-24
6,-18
8,-10
12,2
8,10
10,20
-8,12
12,24
-8,16
10,26
10,36
12,48
10,58
-6,52
12,64
12,76
10,86
8,94
12,106
-4,102
-6,96
12,108
12,120
12,132
-14,118
14,132
-6,126
14,140
12,152
-14,138
-8,130
-16,114
6,120
-4,116
14,130
-16,114
12,126
12,138
12,150
12,162
-14,148
-6,142
14,156
-6,150
0,0
14,14
10,24
14,38
14,52
14,66
8,74
4,78
12,90
14,104
14,118
-14,104
14,118
10,128
14,142
10,152
-14,138
-8,130
6,136
12,148
14,162
14,176
-14,162
8,170
10,180
10,190
12,202
-16,186
8,194
-4,190
10,200
10,210
14,224
10,234
10,244
6,250
12,262
-8,254
10,264
-8,256
12,268
12,280
12,292
12,304
-14,290
-8,282
8,290
12,302
12,314
12,326
-16,310
0,0
-14,-14
10,-4
12,8
12,20
-14,6
14,20
-16,4
14,18
14,32
-4,28
-8,20
-4,16
14,30
14,44
12,56
12,68
14,82
-16,66
14,80
12,92
6,98
-6,92
